Vteam,Hteam
Oklahoma City Thunder,San Antonio Spurs
New Orleans Pelicans,Toronto Raptors
New York Knicks,Washington Wizards
Toronto Raptors,Boston Celtics
New York Knicks,Brooklyn Nets
Minnesota Timberwolves,Cleveland Cavaliers
Philadelphia 76ers,Dallas Mavericks
Memphis Grizzlies,Denver Nuggets
New Orleans Pelicans,Detroit Pistons
Charlotte Hornets,Golden State Warriors
Atlanta Hawks,Miami Heat
Chicago Bulls,Oklahoma City Thunder
Indiana Pacers,Orlando Magic
Los Angeles Clippers,Phoenix Suns
Milwaukee Bucks,Utah Jazz
Atlanta Hawks,Houston Rockets
Golden State Warriors,Los Angeles Clippers
Philadelphia 76ers,San Antonio Spurs
Los Angeles Lakers,Washington Wizards
Los Angeles Lakers,Boston Celtics
Indiana Pacers,Brooklyn Nets
Milwaukee Bucks,Denver Nuggets
Minnesota Timberwolves,Detroit Pistons
Chicago Bulls,Houston Rockets
Memphis Grizzlies,Oklahoma City Thunder
Toronto Raptors,Orlando Magic
Dallas Mavericks,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
Orlando Magic,Atlanta Hawks
Detroit Pistons,Indiana Pacers
Philadelphia 76ers,Miami Heat
Memphis Grizzlies,Minnesota Timberwolves
Cleveland Cavaliers,New York Knicks
Milwaukee Bucks,Phoenix Suns
Golden State Warriors,Sacramento Kings
Denver Nuggets,San Antonio Spurs
Charlotte Hornets,Utah Jazz
New Orleans Pelicans,Washington Wizards
Los Angeles Clippers,Boston Celtics
Toronto Raptors,Brooklyn Nets
Portland Trail Blazers,Oklahoma City Thunder
Utah Jazz,Atlanta Hawks
Dallas Mavericks,Denver Nuggets
Philadelphia 76ers,Detroit Pistons
Oklahoma City Thunder,Indiana Pacers
San Antonio Spurs,Memphis Grizzlies
Miami Heat,Minnesota Timberwolves
Phoenix Suns,New Orleans Pelicans
Los Angeles Lakers,New York Knicks
Chicago Bulls,Sacramento Kings
Los Angeles Clippers,Toronto Raptors
Cleveland Cavaliers,Washington Wizards
Brooklyn Nets,Charlotte Hornets
Portland Trail Blazers,Dallas Mavericks
Orlando Magic,Houston Rockets
Denver Nuggets,Atlanta Hawks
Washington Wizards,Brooklyn Nets
Los Angeles Lakers,Detroit Pistons
Chicago Bulls,Golden State Warriors
Cleveland Cavaliers,Indiana Pacers
Phoenix Suns,Memphis Grizzlies
Miami Heat,Milwaukee Bucks
Toronto Raptors,Minnesota Timberwolves
Utah Jazz,New Orleans Pelicans
Los Angeles Clippers,New York Knicks
San Antonio Spurs,Philadelphia 76ers
Boston Celtics,Sacramento Kings
Houston Rockets,Charlotte Hornets
Utah Jazz,Dallas Mavericks
Cleveland Cavaliers,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
Boston Celtics,Portland Trail Blazers
Miami Heat,Brooklyn Nets
San Antonio Spurs,Detroit Pistons
Golden State Warriors,Memphis Grizzlies
Los Angeles Lakers,Milwaukee Bucks
New Orleans Pelicans,Minnesota Timberwolves
Denver Nuggets,New York Knicks
Chicago Bulls,Phoenix Suns
Atlanta Hawks,Sacramento Kings
Indiana Pacers,Washington Wizards
Los Angeles Clippers,Charlotte Hornets
Denver Nuggets,Cleveland Cavaliers
Orlando Magic,Dallas Mavericks
Phoenix Suns,Houston Rockets
Milwaukee Bucks,Indiana Pacers
Golden State Warriors,Oklahoma City Thunder
Miami Heat,Philadelphia 76ers
Boston Celtics,Utah Jazz
Chicago Bulls,Minnesota Timberwolves
San Antonio Spurs,New York Knicks
New Orleans Pelicans,Sacramento Kings
Detroit Pistons,Toronto Raptors
Memphis Grizzlies,Brooklyn Nets
Philadelphia 76ers,Charlotte Hornets
Boston Celtics,Dallas Mavericks
Golden State Warriors,Denver Nuggets
San Antonio Spurs,Indiana Pacers
Orlando Magic,Miami Heat
Detroit Pistons,Milwaukee Bucks
New Orleans Pelicans,Phoenix Suns
Atlanta Hawks,Portland Trail Blazers
Los Angeles Clippers,Utah Jazz
Oklahoma City Thunder,Washington Wizards
Toronto Raptors,Chicago Bulls
Sacramento Kings,Los Angeles Lakers
Cleveland Cavaliers,Minnesota Timberwolves
Philadelphia 76ers,Boston Celtics
Milwaukee Bucks,Brooklyn Nets
Indiana Pacers,Cleveland Cavaliers
Minnesota Timberwolves,Denver Nuggets
Dallas Mavericks,Detroit Pistons
Sacramento Kings,Golden State Warriors
Miami Heat,Houston Rockets
Atlanta Hawks,Los Angeles Clippers
New Orleans Pelicans,Memphis Grizzlies
New York Knicks,Oklahoma City Thunder
San Antonio Spurs,Orlando Magic
Los Angeles Lakers,Phoenix Suns
Charlotte Hornets,Toronto Raptors
Portland Trail Blazers,Utah Jazz
Boston Celtics,Chicago Bulls
Washington Wizards,Indiana Pacers
New York Knicks,Cleveland Cavaliers
Charlotte Hornets,Detroit Pistons
Los Angeles Clippers,Golden State Warriors
Houston Rockets,New Orleans Pelicans
Portland Trail Blazers,Orlando Magic
Denver Nuggets,Sacramento Kings
Miami Heat,Atlanta Hawks
Phoenix Suns,Chicago Bulls
Brooklyn Nets,Denver Nuggets
Memphis Grizzlies,Indiana Pacers
San Antonio Spurs,Los Angeles Clippers
Utah Jazz,Milwaukee Bucks
Dallas Mavericks,Minnesota Timberwolves
Los Angeles Lakers,Oklahoma City Thunder
Washington Wizards,Philadelphia 76ers
Boston Celtics,Toronto Raptors
Chicago Bulls,Cleveland Cavaliers
New Orleans Pelicans,Dallas Mavericks
Brooklyn Nets,Golden State Warriors
Minnesota Timberwolves,Houston Rockets
Indiana Pacers,Miami Heat
Philadelphia 76ers,New York Knicks
Atlanta Hawks,Orlando Magic
Charlotte Hornets,Sacramento Kings
Memphis Grizzlies,Denver Nuggets
Boston Celtics,Detroit Pistons
Charlotte Hornets,Los Angeles Clippers
San Antonio Spurs,Los Angeles Lakers
Phoenix Suns,Milwaukee Bucks
New Orleans Pelicans,Oklahoma City Thunder
Portland Trail Blazers,Toronto Raptors
Utah Jazz,Washington Wizards
Atlanta Hawks,Boston Celtics
Milwaukee Bucks,Cleveland Cavaliers
Miami Heat,Dallas Mavericks
Indiana Pacers,Houston Rockets
Toronto Raptors,New York Knicks
Golden State Warriors,Philadelphia 76ers
Minnesota Timberwolves,Sacramento Kings
Denver Nuggets,Chicago Bulls
Portland Trail Blazers,Detroit Pistons
Charlotte Hornets,Los Angeles Lakers
Phoenix Suns,Memphis Grizzlies
Utah Jazz,Oklahoma City Thunder
Golden State Warriors,Washington Wizards
Dallas Mavericks,Atlanta Hawks
Cleveland Cavaliers,Boston Celtics
Houston Rockets,Los Angeles Clippers
Philadelphia 76ers,Miami Heat
Denver Nuggets,Milwaukee Bucks
Detroit Pistons,New Orleans Pelicans
New York Knicks,Orlando Magic
Brooklyn Nets,Sacramento Kings
Indiana Pacers,San Antonio Spurs
Washington Wizards,Toronto Raptors
Minnesota Timberwolves,Utah Jazz
Golden State Warriors,Chicago Bulls
Charlotte Hornets,Phoenix Suns
Oklahoma City Thunder,Portland Trail Blazers
Cleveland Cavaliers,Atlanta Hawks
Memphis Grizzlies,Dallas Mavericks
Boston Celtics,Los Angeles Lakers
Los Angeles Clippers,Milwaukee Bucks
San Antonio Spurs,New Orleans Pelicans
Miami Heat,Orlando Magic
New York Knicks,Philadelphia 76ers
Oklahoma City Thunder,Phoenix Suns
Brooklyn Nets,Utah Jazz
Toronto Raptors,Washington Wizards
Los Angeles Clippers,Chicago Bulls
Charlotte Hornets,Denver Nuggets
Memphis Grizzlies,Houston Rockets
Cleveland Cavaliers,Miami Heat
Toronto Raptors,Milwaukee Bucks
Detroit Pistons,Philadelphia 76ers
Brooklyn Nets,Portland Trail Blazers
Minnesota Timberwolves,San Antonio Spurs
Indiana Pacers,Atlanta Hawks
Oklahoma City Thunder,Dallas Mavericks
New Orleans Pelicans,Los Angeles Lakers
Golden State Warriors,New York Knicks
Boston Celtics,Phoenix Suns
Utah Jazz,Sacramento Kings
Orlando Magic,Washington Wizards
Golden State Warriors,Atlanta Hawks
Indiana Pacers,Charlotte Hornets
Miami Heat,Cleveland Cavaliers
Sacramento Kings,Denver Nuggets
Chicago Bulls,Detroit Pistons
Boston Celtics,Los Angeles Clippers
Brooklyn Nets,Memphis Grizzlies
New York Knicks,Orlando Magic
Milwaukee Bucks,Philadelphia 76ers
Houston Rockets,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
Los Angeles Lakers,Dallas Mavericks
Portland Trail Blazers,Oklahoma City Thunder
Washington Wizards,Phoenix Suns
Brooklyn Nets,Atlanta Hawks
Washington Wizards,Denver Nuggets
Boston Celtics,Golden State Warriors
Utah Jazz,Houston Rockets
Detroit Pistons,Indiana Pacers
Charlotte Hornets,Miami Heat
New York Knicks,Milwaukee Bucks
Los Angeles Clippers,Minnesota Timberwolves
Toronto Raptors,New Orleans Pelicans
Chicago Bulls,Orlando Magic
Sacramento Kings,San Antonio Spurs
Cleveland Cavaliers,Detroit Pistons
Los Angeles Clippers,Memphis Grizzlies
San Antonio Spurs,Oklahoma City Thunder
Los Angeles Lakers,Phoenix Suns
Philadelphia 76ers,Portland Trail Blazers
Toronto Raptors,Atlanta Hawks
Houston Rockets,Chicago Bulls
Orlando Magic,Charlotte Hornets
Brooklyn Nets,Dallas Mavericks
Boston Celtics,Denver Nuggets
Indiana Pacers,Milwaukee Bucks
Golden State Warriors,Minnesota Timberwolves
Washington Wizards,Sacramento Kings
New Orleans Pelicans,Charlotte Hornets
Phoenix Suns,Dallas Mavericks
New York Knicks,Detroit Pistons
Philadelphia 76ers,Los Angeles Clippers
Atlanta Hawks,Memphis Grizzlies
Toronto Raptors,Miami Heat
Minnesota Timberwolves,Milwaukee Bucks
Utah Jazz,Oklahoma City Thunder
Cleveland Cavaliers,Orlando Magic
Washington Wizards,Portland Trail Blazers
Denver Nuggets,Sacramento Kings
Golden State Warriors,San Antonio Spurs
Chicago Bulls,Boston Celtics
New York Knicks,Brooklyn Nets
Cleveland Cavaliers,Houston Rockets
Miami Heat,Indiana Pacers
Philadelphia 76ers,Los Angeles Lakers
Portland Trail Blazers,Phoenix Suns
Chicago Bulls,Charlotte Hornets
Los Angeles Lakers,Denver Nuggets
Milwaukee Bucks,Memphis Grizzlies
Washington Wizards,Minnesota Timberwolves
Orlando Magic,Sacramento Kings
Atlanta Hawks,San Antonio Spurs
Dallas Mavericks,Toronto Raptors
Los Angeles Clippers,Utah Jazz
Oklahoma City Thunder,Brooklyn Nets
Detroit Pistons,Cleveland Cavaliers
Philadelphia 76ers,Golden State Warriors
Portland Trail Blazers,New Orleans Pelicans
Indiana Pacers,New York Knicks
Minnesota Timberwolves,Boston Celtics
Memphis Grizzlies,Chicago Bulls
Utah Jazz,Detroit Pistons
Los Angeles Lakers,Houston Rockets
Charlotte Hornets,Indiana Pacers
Milwaukee Bucks,Los Angeles Clippers
New Orleans Pelicans,Miami Heat
Sacramento Kings,Phoenix Suns
Portland Trail Blazers,San Antonio Spurs
Dallas Mavericks,Washington Wizards
Memphis Grizzlies,Atlanta Hawks
Utah Jazz,Cleveland Cavaliers
Los Angeles Clippers,Denver Nuggets
Orlando Magic,Golden State Warriors
Brooklyn Nets,New York Knicks
Oklahoma City Thunder,Toronto Raptors
Boston Celtics,Brooklyn Nets
Toronto Raptors,Detroit Pistons
Milwaukee Bucks,Los Angeles Lakers
Minnesota Timberwolves,Miami Heat
Houston Rockets,New Orleans Pelicans
Dallas Mavericks,Philadelphia 76ers
Orlando Magic,Phoenix Suns
Chicago Bulls,Washington Wizards
Portland Trail Blazers,Atlanta Hawks
Utah Jazz,Chicago Bulls
Washington Wizards,Charlotte Hornets
Houston Rockets,Denver Nuggets
Milwaukee Bucks,Golden State Warriors
Cleveland Cavaliers,Los Angeles Clippers
San Antonio Spurs,Memphis Grizzlies
Sacramento Kings,Oklahoma City Thunder
Dallas Mavericks,Brooklyn Nets
Phoenix Suns,Detroit Pistons
Cleveland Cavaliers,Los Angeles Lakers
Portland Trail Blazers,Miami Heat
Minnesota Timberwolves,New Orleans Pelicans
Boston Celtics,Philadelphia 76ers
Sacramento Kings,San Antonio Spurs
Indiana Pacers,Toronto Raptors
Washington Wizards,Boston Celtics
Atlanta Hawks,Charlotte Hornets
Denver Nuggets,Houston Rockets
Utah Jazz,Indiana Pacers
New York Knicks,Los Angeles Clippers
Golden State Warriors,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
Detroit Pistons,Brooklyn Nets
Golden State Warriors,Dallas Mavericks
Los Angeles Clippers,Los Angeles Lakers
Phoenix Suns,Miami Heat
San Antonio Spurs,Minnesota Timberwolves
Memphis Grizzlies,New Orleans Pelicans
Milwaukee Bucks,Portland Trail Blazers
Chicago Bulls,Toronto Raptors
Indiana Pacers,Boston Celtics
Detroit Pistons,Chicago Bulls
Cleveland Cavaliers,Denver Nuggets
Philadelphia 76ers,Oklahoma City Thunder
Charlotte Hornets,Orlando Magic
Milwaukee Bucks,Sacramento Kings
New York Knicks,Utah Jazz
Atlanta Hawks,Washington Wizards
Phoenix Suns,Brooklyn Nets
Los Angeles Clippers,Dallas Mavericks
Toronto Raptors,Miami Heat
New York Knicks,Portland Trail Blazers
Memphis Grizzlies,San Antonio Spurs
Phoenix Suns,Boston Celtics
Philadelphia 76ers,Chicago Bulls
Cleveland Cavaliers,Charlotte Hornets
Sacramento Kings,Golden State Warriors
New Orleans Pelicans,Houston Rockets
Denver Nuggets,Indiana Pacers
Minnesota Timberwolves,Los Angeles Lakers
Atlanta Hawks,Milwaukee Bucks
Detroit Pistons,Orlando Magic
Brooklyn Nets,Washington Wizards
Washington Wizards,Cleveland Cavaliers
Toronto Raptors,Dallas Mavericks
Utah Jazz,Los Angeles Clippers
Minnesota Timberwolves,Portland Trail Blazers
New York Knicks,San Antonio Spurs
Brooklyn Nets,Atlanta Hawks
Miami Heat,Boston Celtics
Phoenix Suns,Charlotte Hornets
New Orleans Pelicans,Denver Nuggets
Memphis Grizzlies,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Philadelphia 76ers,Indiana Pacers
Sacramento Kings,Los Angeles Clippers
Portland Trail Blazers,Los Angeles Lakers
Chicago Bulls,Milwaukee Bucks
Oklahoma City Thunder,Dallas Mavericks
Detroit Pistons,New York Knicks
Memphis Grizzlies,Sacramento Kings
Cleveland Cavaliers,San Antonio Spurs
Orlando Magic,Toronto Raptors
New Orleans Pelicans,Utah Jazz
Phoenix Suns,Atlanta Hawks
Philadelphia 76ers,Brooklyn Nets
Milwaukee Bucks,Charlotte Hornets
Miami Heat,Detroit Pistons
Golden State Warriors,Houston Rockets
Minnesota Timberwolves,Indiana Pacers
Washington Wizards,Los Angeles Lakers
Denver Nuggets,Portland Trail Blazers
Milwaukee Bucks,Boston Celtics
Washington Wizards,Los Angeles Clippers
Indiana Pacers,Memphis Grizzlies
Dallas Mavericks,New Orleans Pelicans
Miami Heat,New York Knicks
Oklahoma City Thunder,Orlando Magic
Atlanta Hawks,Philadelphia 76ers
Utah Jazz,Sacramento Kings
Golden State Warriors,San Antonio Spurs
Charlotte Hornets,Toronto Raptors
Cleveland Cavaliers,Chicago Bulls
Brooklyn Nets,Detroit Pistons
Los Angeles Lakers,Minnesota Timberwolves
Los Angeles Clippers,Phoenix Suns
Houston Rockets,Portland Trail Blazers
Orlando Magic,Boston Celtics
Denver Nuggets,Charlotte Hornets
Philadelphia 76ers,Cleveland Cavaliers
Houston Rockets,Golden State Warriors
Dallas Mavericks,Memphis Grizzlies
New York Knicks,Miami Heat
Detroit Pistons,Milwaukee Bucks
Sacramento Kings,New Orleans Pelicans
San Antonio Spurs,Oklahoma City Thunder
Indiana Pacers,Toronto Raptors
Washington Wizards,Utah Jazz
Orlando Magic,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
Los Angeles Lakers,Los Angeles Clippers
Sacramento Kings,Minnesota Timberwolves
Phoenix Suns,Portland Trail Blazers
Atlanta Hawks,Brooklyn Nets
Indiana Pacers,Cleveland Cavaliers
Washington Wizards,Golden State Warriors
Memphis Grizzlies,Los Angeles Lakers
Denver Nuggets,Miami Heat
Dallas Mavericks,Milwaukee Bucks
Chicago Bulls,New Orleans Pelicans
Boston Celtics,New York Knicks
Charlotte Hornets,Oklahoma City Thunder
Houston Rockets,Phoenix Suns
Utah Jazz,San Antonio Spurs
Philadelphia 76ers,Toronto Raptors
Orlando Magic,Cleveland Cavaliers
Minnesota Timberwolves,Golden State Warriors
Toronto Raptors,Indiana Pacers
Denver Nuggets,New Orleans Pelicans
Chicago Bulls,New York Knicks
Milwaukee Bucks,Oklahoma City Thunder
Brooklyn Nets,Philadelphia 76ers
Dallas Mavericks,Sacramento Kings
Memphis Grizzlies,San Antonio Spurs
Portland Trail Blazers,Utah Jazz
Charlotte Hornets,Washington Wizards
Cleveland Cavaliers,Boston Celtics
Miami Heat,Charlotte Hornets
Toronto Raptors,Detroit Pistons
Denver Nuggets,Houston Rockets
Dallas Mavericks,Los Angeles Clippers
Oklahoma City Thunder,Memphis Grizzlies
Golden State Warriors,Phoenix Suns
Los Angeles Lakers,San Antonio Spurs
Boston Celtics,Atlanta Hawks
Milwaukee Bucks,Indiana Pacers
Washington Wizards,New York Knicks
Brooklyn Nets,Orlando Magic
Chicago Bulls,Philadelphia 76ers
Minnesota Timberwolves,Portland Trail Blazers
Atlanta Hawks,Cleveland Cavaliers
San Antonio Spurs,Dallas Mavericks
New Orleans Pelicans,Denver Nuggets
Detroit Pistons,Houston Rockets
Sacramento Kings,Los Angeles Lakers
New York Knicks,Memphis Grizzlies
Oklahoma City Thunder,Phoenix Suns
Miami Heat,Toronto Raptors
Minnesota Timberwolves,Utah Jazz
Chicago Bulls,Brooklyn Nets
Boston Celtics,Charlotte Hornets
New Orleans Pelicans,Golden State Warriors
Indiana Pacers,Orlando Magic
Milwaukee Bucks,Philadelphia 76ers
Utah Jazz,Portland Trail Blazers
Los Angeles Clippers,San Antonio Spurs
Miami Heat,Washington Wizards
Cleveland Cavaliers,Atlanta Hawks
Oklahoma City Thunder,Denver Nuggets
Minnesota Timberwolves,Los Angeles Lakers
Detroit Pistons,Memphis Grizzlies
Toronto Raptors,New York Knicks
Dallas Mavericks,Phoenix Suns
Houston Rockets,Sacramento Kings
Brooklyn Nets,Boston Celtics
Orlando Magic,Chicago Bulls
Washington Wizards,Detroit Pistons
Utah Jazz,Golden State Warriors
Houston Rockets,Los Angeles Clippers
Cleveland Cavaliers,Miami Heat
Charlotte Hornets,Milwaukee Bucks
Indiana Pacers,Philadelphia 76ers
San Antonio Spurs,Portland Trail Blazers
Charlotte Hornets,Atlanta Hawks
Denver Nuggets,Dallas Mavericks
New Orleans Pelicans,Los Angeles Lakers
Oklahoma City Thunder,Minnesota Timberwolves
Phoenix Suns,Sacramento Kings
Milwaukee Bucks,Boston Celtics
Brooklyn Nets,Chicago Bulls
Toronto Raptors,Cleveland Cavaliers
Los Angeles Lakers,Golden State Warriors
Minnesota Timberwolves,Houston Rockets
Atlanta Hawks,Indiana Pacers
Sacramento Kings,Los Angeles Clippers
Dallas Mavericks,Memphis Grizzlies
Washington Wizards,Miami Heat
Philadelphia 76ers,New York Knicks
Denver Nuggets,Oklahoma City Thunder
Detroit Pistons,Orlando Magic
New Orleans Pelicans,Portland Trail Blazers
San Antonio Spurs,Utah Jazz
