WTeam,LTeam,WLoc
Minnesota Timberwolves,Memphis Grizzlies,H
New Orleans Pelicans,Milwaukee Bucks,H
Phoenix Suns,Atlanta Hawks,H
Portland Trail Blazers,Los Angeles Lakers,H
Sacramento Kings,Indiana Pacers,H
Brooklyn Nets,Oklahoma City Thunder,H
Houston Rockets,Dallas Mavericks,H
Boston Celtics,Philadelphia 76ers,V
Toronto Raptors,Los Angeles Clippers,H
Miami Heat,Chicago Bulls,V
Cleveland Cavaliers,Minnesota Timberwolves,H
Atlanta Hawks,Denver Nuggets,V
Golden State Warriors,San Antonio Spurs,H
Memphis Grizzlies,Orlando Magic,H
Houston Rockets,New Orleans Pelicans,V
Charlotte Hornets,Sacramento Kings,V
Detroit Pistons,Utah Jazz,V
Boston Celtics,Washington Wizards,V
Miami Heat,Brooklyn Nets,V
Los Angeles Clippers,Indiana Pacers,V
Dallas Mavericks,Los Angeles Lakers,V
Milwaukee Bucks,Orlando Magic,H
Oklahoma City Thunder,New York Knicks,V
Philadelphia 76ers,Phoenix Suns,H
Portland Trail Blazers,Sacramento Kings,H
Toronto Raptors,Washington Wizards,H
Los Angeles Clippers,Atlanta Hawks,V
Boston Celtics,Denver Nuggets,H
Cleveland Cavaliers,Phoenix Suns,H
Detroit Pistons,Philadelphia 76ers,H
Golden State Warriors,Dallas Mavericks,H
Oklahoma City Thunder,Minnesota Timberwolves,V
San Antonio Spurs,Houston Rockets,H
Utah Jazz,Charlotte Hornets,H
Indiana Pacers,Atlanta Hawks,H
Chicago Bulls,Los Angeles Lakers,V
Memphis Grizzlies,Milwaukee Bucks,H
New Orleans Pelicans,Sacramento Kings,H
Toronto Raptors,New York Knicks,H
Denver Nuggets,Washington Wizards,V
Boston Celtics,Orlando Magic,H
Dallas Mavericks,Brooklyn Nets,H
Cleveland Cavaliers,Detroit Pistons,V
Los Angeles Clippers,Los Angeles Lakers,H
Miami Heat,Milwaukee Bucks,V
New York Knicks,Phoenix Suns,H
Oklahoma City Thunder,Houston Rockets,H
Portland Trail Blazers,Charlotte Hornets,H
Utah Jazz,Minnesota Timberwolves,H
Cleveland Cavaliers,San Antonio Spurs,H
Washington Wizards,Houston Rockets,V
Indiana Pacers,Denver Nuggets,H
Memphis Grizzlies,Sacramento Kings,H
New Orleans Pelicans,Brooklyn Nets,H
Golden State Warriors,Philadelphia 76ers,V
Toronto Raptors,Detroit Pistons,H
Dallas Mavericks,Phoenix Suns,H
Los Angeles Clippers,Chicago Bulls,H
Charlotte Hornets,Los Angeles Lakers,V
Miami Heat,Atlanta Hawks,H
Golden State Warriors,New York Knicks,V
Orlando Magic,Boston Celtics,H
Portland Trail Blazers,Minnesota Timberwolves,H
Atlanta Hawks,Dallas Mavericks,H
Detroit Pistons,Brooklyn Nets,V
Denver Nuggets,Toronto Raptors,H
Cleveland Cavaliers,Indiana Pacers,V
Memphis Grizzlies,New Orleans Pelicans,V
Oklahoma City Thunder,Washington Wizards,H
Sacramento Kings,Milwaukee Bucks,H
San Antonio Spurs,Orlando Magic,H
Utah Jazz,Chicago Bulls,H
Houston Rockets,Miami Heat,H
Los Angeles Lakers,Minnesota Timberwolves,H
Boston Celtics,New York Knicks,V
Toronto Raptors,Phoenix Suns,V
Portland Trail Blazers,Milwaukee Bucks,H
Boston Celtics,Detroit Pistons,H
Indiana Pacers,Brooklyn Nets,V
Charlotte Hornets,Cleveland Cavaliers,H
Miami Heat,Dallas Mavericks,V
Minnesota Timberwolves,Los Angeles Clippers,V
Oklahoma City Thunder,Orlando Magic,H
Atlanta Hawks,Philadelphia 76ers,V
Chicago Bulls,Sacramento Kings,V
San Antonio Spurs,New Orleans Pelicans,H
Utah Jazz,Denver Nuggets,H
Golden State Warriors,Washington Wizards,V
Detroit Pistons,New York Knicks,H
Los Angeles Lakers,New Orleans Pelicans,V
Houston Rockets,Phoenix Suns,V
Toronto Raptors,Portland Trail Blazers,V
Atlanta Hawks,Indiana Pacers,H
Brooklyn Nets,Sacramento Kings,H
Miami Heat,Charlotte Hornets,V
Boston Celtics,Cleveland Cavaliers,V
San Antonio Spurs,Dallas Mavericks,V
Denver Nuggets,Chicago Bulls,H
Memphis Grizzlies,New York Knicks,V
Los Angeles Clippers,Orlando Magic,V
Utah Jazz,Milwaukee Bucks,H
Washington Wizards,Philadelphia 76ers,H
Charlotte Hornets,Washington Wizards,H
Cleveland Cavaliers,New Orleans Pelicans,H
Golden State Warriors,Oklahoma City Thunder,H
Portland Trail Blazers,Houston Rockets,V
Indiana Pacers,Detroit Pistons,H
Dallas Mavericks,Memphis Grizzlies,V
Minnesota Timberwolves,Chicago Bulls,H
Philadelphia 76ers,Brooklyn Nets,H
Utah Jazz,Phoenix Suns,V
San Antonio Spurs,Los Angeles Lakers,H
Boston Celtics,Sacramento Kings,H
Los Angeles Clippers,Miami Heat,V
Denver Nuggets,New York Knicks,V
Orlando Magic,Atlanta Hawks,H
Orlando Magic,Atlanta Hawks,V
Brooklyn Nets,Denver Nuggets,H
Charlotte Hornets,Chicago Bulls,H
Cleveland Cavaliers,Sacramento Kings,H
Toronto Raptors,Detroit Pistons,V
Indiana Pacers,Los Angeles Lakers,H
Portland Trail Blazers,Memphis Grizzlies,V
New Orleans Pelicans,Minnesota Timberwolves,V
Los Angeles Clippers,Philadelphia 76ers,V
Oklahoma City Thunder,Phoenix Suns,V
Utah Jazz,Dallas Mavericks,V
Golden State Warriors,Houston Rockets,H
San Antonio Spurs,Miami Heat,V
Milwaukee Bucks,Boston Celtics,H
Washington Wizards,New York Knicks,V
Boston Celtics,Los Angeles Clippers,H
Memphis Grizzlies,Brooklyn Nets,V
Atlanta Hawks,Chicago Bulls,V
Cleveland Cavaliers,Los Angeles Lakers,H
Denver Nuggets,Detroit Pistons,V
Charlotte Hornets,Indiana Pacers,V
Minnesota Timberwolves,Toronto Raptors,H
New Orleans Pelicans,Utah Jazz,H
San Antonio Spurs,Orlando Magic,V
Sacramento Kings,Philadelphia 76ers,V
Golden State Warriors,Phoenix Suns,V
Portland Trail Blazers,Houston Rockets,H
Milwaukee Bucks,Washington Wizards,H
Oklahoma City Thunder,New Orleans Pelicans,H
Cleveland Cavaliers,Chicago Bulls,H
Los Angeles Clippers,San Antonio Spurs,H
Washington Wizards,Utah Jazz,H
Miami Heat,Atlanta Hawks,V
Brooklyn Nets,New York Knicks,H
Chicago Bulls,Toronto Raptors,H
San Antonio Spurs,Los Angeles Lakers,V
Memphis Grizzlies,Minnesota Timberwolves,H
Charlotte Hornets,Milwaukee Bucks,V
New Orleans Pelicans,Philadelphia 76ers,H
Indiana Pacers,Oklahoma City Thunder,V
Orlando Magic,Dallas Mavericks,H
Houston Rockets,Phoenix Suns,V
Portland Trail Blazers,Golden State Warriors,H
Sacramento Kings,Denver Nuggets,H
Utah Jazz,Boston Celtics,H
Washington Wizards,Detroit Pistons,H
Milwaukee Bucks,Atlanta Hawks,V
Golden State Warriors,Los Angeles Clippers,V
Miami Heat,Washington Wizards,H
New York Knicks,Minnesota Timberwolves,V
Charlotte Hornets,Brooklyn Nets,V
Chicago Bulls,Los Angeles Lakers,H
Dallas Mavericks,Philadelphia 76ers,H
Boston Celtics,Denver Nuggets,V
New Orleans Pelicans,Detroit Pistons,V
Cleveland Cavaliers,Oklahoma City Thunder,V
Indiana Pacers,Orlando Magic,V
San Antonio Spurs,Phoenix Suns,V
Portland Trail Blazers,Utah Jazz,H
Toronto Raptors,Memphis Grizzlies,H
Golden State Warriors,Atlanta Hawks,V
Detroit Pistons,Cleveland Cavaliers,V
Los Angeles Clippers,Phoenix Suns,H
Miami Heat,Indiana Pacers,H
Milwaukee Bucks,Los Angeles Lakers,H
Minnesota Timberwolves,Boston Celtics,H
Toronto Raptors,New York Knicks,V
Sacramento Kings,Denver Nuggets,V
Orlando Magic,Philadelphia 76ers,V
Portland Trail Blazers,Brooklyn Nets,H
Utah Jazz,Houston Rockets,H
Washington Wizards,New Orleans Pelicans,H
Chicago Bulls,Washington Wizards,H
Cleveland Cavaliers,Charlotte Hornets,H
Oklahoma City Thunder,Dallas Mavericks,V
Detroit Pistons,Philadelphia 76ers,H
Indiana Pacers,New York Knicks,H
Denver Nuggets,Los Angeles Clippers,V
Memphis Grizzlies,Los Angeles Lakers,H
Golden State Warriors,Miami Heat,V
San Antonio Spurs,Sacramento Kings,V
Toronto Raptors,Minnesota Timberwolves,H
Boston Celtics,Milwaukee Bucks,H
New Orleans Pelicans,Oklahoma City Thunder,H
Golden State Warriors,Orlando Magic,V
Brooklyn Nets,Phoenix Suns,V
Houston Rockets,Portland Trail Blazers,V
San Antonio Spurs,Utah Jazz,V
Atlanta Hawks,Chicago Bulls,H
Dallas Mavericks,Denver Nuggets,H
Charlotte Hornets,Indiana Pacers,V
Memphis Grizzlies,Los Angeles Lakers,V
New York Knicks,Orlando Magic,H
Washington Wizards,Philadelphia 76ers,V
Los Angeles Clippers,Sacramento Kings,V
Toronto Raptors,Cleveland Cavaliers,H
Boston Celtics,Miami Heat,H
Portland Trail Blazers,Chicago Bulls,V
San Antonio Spurs,Houston Rockets,V
Detroit Pistons,Milwaukee Bucks,V
Minnesota Timberwolves,New Orleans Pelicans,V
Golden State Warriors,Oklahoma City Thunder,V
Phoenix Suns,Memphis Grizzlies,H
Brooklyn Nets,Utah Jazz,V
Atlanta Hawks,Charlotte Hornets,H
Dallas Mavericks,Minnesota Timberwolves,H
Detroit Pistons,Toronto Raptors,H
Portland Trail Blazers,Indiana Pacers,V
Miami Heat,New York Knicks,V
Orlando Magic,Philadelphia 76ers,H
Washington Wizards,Cleveland Cavaliers,H
Boston Celtics,Utah Jazz,H
Cleveland Cavaliers,Indiana Pacers,H
Memphis Grizzlies,Denver Nuggets,V
Los Angeles Clippers,Brooklyn Nets,H
Milwaukee Bucks,Houston Rockets,H
Oklahoma City Thunder,Sacramento Kings,V
Washington Wizards,Philadelphia 76ers,H
Charlotte Hornets,Phoenix Suns,H
Dallas Mavericks,Orlando Magic,H
Golden State Warriors,Atlanta Hawks,H
Los Angeles Lakers,Brooklyn Nets,H
Miami Heat,Chicago Bulls,H
Portland Trail Blazers,New York Knicks,V
Boston Celtics,Portland Trail Blazers,H
Denver Nuggets,Los Angeles Lakers,H
Houston Rockets,New Orleans Pelicans,H
Los Angeles Clippers,Oklahoma City Thunder,H
Memphis Grizzlies,Sacramento Kings,H
Indiana Pacers,Milwaukee Bucks,V
Washington Wizards,Minnesota Timberwolves,V
Orlando Magic,Chicago Bulls,H
Charlotte Hornets,Philadelphia 76ers,V
San Antonio Spurs,Detroit Pistons,H
Toronto Raptors,Utah Jazz,H
Sacramento Kings,Dallas Mavericks,V
Golden State Warriors,Oklahoma City Thunder,H
Miami Heat,Phoenix Suns,H
San Antonio Spurs,New Orleans Pelicans,V
Boston Celtics,New York Knicks,H
Charlotte Hornets,Indiana Pacers,H
Cleveland Cavaliers,Washington Wizards,H
Brooklyn Nets,Denver Nuggets,V
Atlanta Hawks,Los Angeles Lakers,V
Memphis Grizzlies,Utah Jazz,H
Milwaukee Bucks,Minnesota Timberwolves,H
Phoenix Suns,Orlando Magic,V
Miami Heat,Philadelphia 76ers,V
Toronto Raptors,Portland Trail Blazers,H
Chicago Bulls,Houston Rockets,H
Cleveland Cavaliers,Boston Celtics,H
Atlanta Hawks,Los Angeles Clippers,V
Minnesota Timberwolves,Brooklyn Nets,H
Utah Jazz,New Orleans Pelicans,V
New York Knicks,Detroit Pistons,H
San Antonio Spurs,Sacramento Kings,H
Indiana Pacers,Washington Wizards,V
Denver Nuggets,Dallas Mavericks,H
Detroit Pistons,Portland Trail Blazers,H
Los Angeles Lakers,Golden State Warriors,H
Phoenix Suns,Memphis Grizzlies,V
Miami Heat,Philadelphia 76ers,H
Oklahoma City Thunder,Milwaukee Bucks,V
Houston Rockets,Toronto Raptors,V
Chicago Bulls,Milwaukee Bucks,H
Charlotte Hornets,Minnesota Timberwolves,H
Memphis Grizzlies,Cleveland Cavaliers,V
Los Angeles Clippers,Dallas Mavericks,V
Golden State Warriors,Orlando Magic,H
Indiana Pacers,San Antonio Spurs,H
New Orleans Pelicans,Sacramento Kings,H
Denver Nuggets,New York Knicks,H
Los Angeles Lakers,Orlando Magic,H
San Antonio Spurs,Minnesota Timberwolves,V
Portland Trail Blazers,Washington Wizards,H
Toronto Raptors,Brooklyn Nets,H
Atlanta Hawks,Utah Jazz,V
Boston Celtics,Memphis Grizzlies,H
Charlotte Hornets,New Orleans Pelicans,H
Detroit Pistons,Dallas Mavericks,V
Golden State Warriors,Utah Jazz,H
Milwaukee Bucks,Miami Heat,H
Oklahoma City Thunder,Los Angeles Clippers,H
Houston Rockets,Philadelphia 76ers,V
New York Knicks,Phoenix Suns,V
Cleveland Cavaliers,Sacramento Kings,V
Denver Nuggets,Phoenix Suns,H
Cleveland Cavaliers,Los Angeles Lakers,V
San Antonio Spurs,Chicago Bulls,H
Toronto Raptors,Atlanta Hawks,H
Houston Rockets,Boston Celtics,V
Miami Heat,Chicago Bulls,V
Charlotte Hornets,Detroit Pistons,H
Golden State Warriors,Portland Trail Blazers,H
Los Angeles Clippers,New York Knicks,H
Memphis Grizzlies,New Orleans Pelicans,H
Minnesota Timberwolves,Oklahoma City Thunder,V
Philadelphia 76ers,Brooklyn Nets,H
Orlando Magic,Sacramento Kings,V
Utah Jazz,Washington Wizards,H
Atlanta Hawks,Memphis Grizzlies,H
Charlotte Hornets,Houston Rockets,H
Indiana Pacers,Dallas Mavericks,V
Denver Nuggets,Washington Wizards,H
Golden State Warriors,Phoenix Suns,H
Milwaukee Bucks,New Orleans Pelicans,H
Detroit Pistons,Philadelphia 76ers,V
Portland Trail Blazers,Orlando Magic,H
San Antonio Spurs,Oklahoma City Thunder,H
Toronto Raptors,Miami Heat,H
Atlanta Hawks,Indiana Pacers,H
Milwaukee Bucks,Brooklyn Nets,V
Cleveland Cavaliers,Los Angeles Clippers,V
New York Knicks,Los Angeles Lakers,V
Utah Jazz,Sacramento Kings,V
Dallas Mavericks,Charlotte Hornets,V
Golden State Warriors,New Orleans Pelicans,H
Houston Rockets,Memphis Grizzlies,H
Miami Heat,Denver Nuggets,H
Oklahoma City Thunder,Portland Trail Blazers,H
Phoenix Suns,Minnesota Timberwolves,H
Chicago Bulls,Toronto Raptors,V
Utah Jazz,Cleveland Cavaliers,H
Washington Wizards,Detroit Pistons,H
Brooklyn Nets,Philadelphia 76ers,H
Indiana Pacers,Boston Celtics,H
Sacramento Kings,Los Angeles Lakers,V
Toronto Raptors,Milwaukee Bucks,V
Orlando Magic,Denver Nuggets,H
San Antonio Spurs,Los Angeles Clippers,H
Oklahoma City Thunder,Boston Celtics,V
Charlotte Hornets,Orlando Magic,H
Cleveland Cavaliers,Dallas Mavericks,H
Atlanta Hawks,Detroit Pistons,V
Golden State Warriors,New York Knicks,H
Los Angeles Clippers,Houston Rockets,V
Minnesota Timberwolves,Memphis Grizzlies,V
New Orleans Pelicans,Sacramento Kings,V
Washington Wizards,Chicago Bulls,H
Atlanta Hawks,Denver Nuggets,H
Chicago Bulls,Brooklyn Nets,H
Toronto Raptors,Indiana Pacers,V
Charlotte Hornets,Miami Heat,V
Milwaukee Bucks,Memphis Grizzlies,H
Washington Wizards,Philadelphia 76ers,V
San Antonio Spurs,Portland Trail Blazers,H
Utah Jazz,Phoenix Suns,H
Golden State Warriors,Dallas Mavericks,V
Detroit Pistons,Sacramento Kings,H
Houston Rockets,Minnesota Timberwolves,H
Phoenix Suns,Los Angeles Lakers,V
Portland Trail Blazers,New Orleans Pelicans,V
Cleveland Cavaliers,Orlando Magic,V
Oklahoma City Thunder,Philadelphia 76ers,V
Toronto Raptors,Boston Celtics,H
Atlanta Hawks,Houston Rockets,H
Chicago Bulls,Utah Jazz,H
Denver Nuggets,Charlotte Hornets,V
Detroit Pistons,Brooklyn Nets,H
Oklahoma City Thunder,Indiana Pacers,V
Memphis Grizzlies,Los Angeles Clippers,H
Miami Heat,Cleveland Cavaliers,H
San Antonio Spurs,Golden State Warriors,H
Washington Wizards,New York Knicks,H
Dallas Mavericks,Portland Trail Blazers,H
Utah Jazz,Milwaukee Bucks,V
New Orleans Pelicans,Los Angeles Clippers,H
Sacramento Kings,New York Knicks,V
Boston Celtics,Philadelphia 76ers,V
Toronto Raptors,Orlando Magic,H
Washington Wizards,Atlanta Hawks,V
Boston Celtics,Orlando Magic,H
Chicago Bulls,Sacramento Kings,H
Charlotte Hornets,San Antonio Spurs,H
Cleveland Cavaliers,Denver Nuggets,H
Detroit Pistons,Milwaukee Bucks,H
Indiana Pacers,Philadelphia 76ers,H
Golden State Warriors,Minnesota Timberwolves,V
Memphis Grizzlies,Phoenix Suns,V
Charlotte Hornets,Brooklyn Nets,V
Los Angeles Lakers,Memphis Grizzlies,H
Miami Heat,New Orleans Pelicans,V
Oklahoma City Thunder,Houston Rockets,H
Boston Celtics,Toronto Raptors,H
New York Knicks,Chicago Bulls,V
Cleveland Cavaliers,Milwaukee Bucks,H
Denver Nuggets,Philadelphia 76ers,H
Detroit Pistons,Orlando Magic,H
Golden State Warriors,Los Angeles Clippers,H
Utah Jazz,Houston Rockets,V
Minnesota Timberwolves,Sacramento Kings,H
Phoenix Suns,Los Angeles Lakers,H
Portland Trail Blazers,Dallas Mavericks,H
San Antonio Spurs,Miami Heat,H
Atlanta Hawks,Washington Wizards,V
Brooklyn Nets,Cleveland Cavaliers,H
Indiana Pacers,New Orleans Pelicans,H
Los Angeles Clippers,Portland Trail Blazers,H
New York Knicks,Chicago Bulls,H
Oklahoma City Thunder,Utah Jazz,H
Atlanta Hawks,Milwaukee Bucks,H
Detroit Pistons,Charlotte Hornets,H
Golden State Warriors,Dallas Mavericks,H
Houston Rockets,Toronto Raptors,H
Denver Nuggets,Los Angeles Lakers,V
Miami Heat,Orlando Magic,H
Sacramento Kings,Phoenix Suns,H
San Antonio Spurs,Memphis Grizzlies,H
Minnesota Timberwolves,Washington Wizards,V
Brooklyn Nets,Indiana Pacers,H
Atlanta Hawks,Detroit Pistons,V
Charlotte Hornets,Milwaukee Bucks,V
Utah Jazz,Minnesota Timberwolves,V
Toronto Raptors,New Orleans Pelicans,V
Cleveland Cavaliers,New York Knicks,V
Oklahoma City Thunder,San Antonio Spurs,H
Orlando Magic,Chicago Bulls,H
Boston Celtics,Phoenix Suns,V
Portland Trail Blazers,Philadelphia 76ers,H
Golden State Warriors,Philadelphia 76ers,H
Indiana Pacers,Houston Rockets,H
Los Angeles Clippers,Denver Nuggets,H
Washington Wizards,Los Angeles Lakers,V
Sacramento Kings,Dallas Mavericks,H
Atlanta Hawks,Chicago Bulls,V
Dallas Mavericks,Denver Nuggets,V
Los Angeles Clippers,Boston Celtics,H
San Antonio Spurs,Memphis Grizzlies,V
Miami Heat,Brooklyn Nets,H
Minnesota Timberwolves,Phoenix Suns,H
New Orleans Pelicans,New York Knicks,H
Portland Trail Blazers,Sacramento Kings,H
Oklahoma City Thunder,Toronto Raptors,V
Utah Jazz,Los Angeles Lakers,H
Houston Rockets,Cleveland Cavaliers,V
Detroit Pistons,Oklahoma City Thunder,H
Golden State Warriors,Washington Wizards,H
Chicago Bulls,Indiana Pacers,V
Orlando Magic,Brooklyn Nets,H
Charlotte Hornets,Philadelphia 76ers,V
Dallas Mavericks,New York Knicks,H
Los Angeles Lakers,Miami Heat,H
Denver Nuggets,Memphis Grizzlies,V
Milwaukee Bucks,Phoenix Suns,H
Los Angeles Clippers,Minnesota Timberwolves,V
Sacramento Kings,Washington Wizards,H
San Antonio Spurs,New Orleans Pelicans,H
Toronto Raptors,Atlanta Hawks,H
Golden State Warriors,Utah Jazz,V
Cleveland Cavaliers,Brooklyn Nets,H
Chicago Bulls,Houston Rockets,V
Orlando Magic,Indiana Pacers,V
New Orleans Pelicans,Denver Nuggets,H
Oklahoma City Thunder,Los Angeles Clippers,H
Portland Trail Blazers,Boston Celtics,H
Cleveland Cavaliers,Atlanta Hawks,V
Charlotte Hornets,Philadelphia 76ers,H
Dallas Mavericks,Detroit Pistons,V
Boston Celtics,Golden State Warriors,V
Toronto Raptors,Memphis Grizzlies,V
Milwaukee Bucks,Orlando Magic,H
New York Knicks,Brooklyn Nets,H
Washington Wizards,Phoenix Suns,V
Miami Heat,Sacramento Kings,V
Utah Jazz,Minnesota Timberwolves,H
Detroit Pistons,Chicago Bulls,V
Sacramento Kings,Denver Nuggets,V
Indiana Pacers,Philadelphia 76ers,V
Portland Trail Blazers,Miami Heat,H
San Antonio Spurs,Toronto Raptors,H
New Orleans Pelicans,Brooklyn Nets,V
Cleveland Cavaliers,Charlotte Hornets,H
Golden State Warriors,Portland Trail Blazers,H
Houston Rockets,Oklahoma City Thunder,H
Los Angeles Clippers,Washington Wizards,H
Boston Celtics,Los Angeles Lakers,V
Chicago Bulls,Milwaukee Bucks,V
Dallas Mavericks,Minnesota Timberwolves,V
Indiana Pacers,New York Knicks,V
Orlando Magic,Memphis Grizzlies,H
Utah Jazz,Phoenix Suns,V
Atlanta Hawks,Phoenix Suns,H
Oklahoma City Thunder,Denver Nuggets,V
Minnesota Timberwolves,Golden State Warriors,V
Los Angeles Clippers,Los Angeles Lakers,H
Memphis Grizzlies,Chicago Bulls,H
Miami Heat,Detroit Pistons,H
Cleveland Cavaliers,Milwaukee Bucks,V
Philadelphia 76ers,New Orleans Pelicans,H
Portland Trail Blazers,Sacramento Kings,V
Toronto Raptors,Charlotte Hornets,H
San Antonio Spurs,Utah Jazz,V
Boston Celtics,New Orleans Pelicans,H
Dallas Mavericks,Houston Rockets,H
Indiana Pacers,Cleveland Cavaliers,H
Los Angeles Clippers,Los Angeles Lakers,V
Charlotte Hornets,New York Knicks,V
Detroit Pistons,Orlando Magic,V
Portland Trail Blazers,Oklahoma City Thunder,H
Washington Wizards,Brooklyn Nets,H
Atlanta Hawks,Toronto Raptors,H
Golden State Warriors,San Antonio Spurs,H
Phoenix Suns,Houston Rockets,V
Miami Heat,Chicago Bulls,H
Minnesota Timberwolves,Sacramento Kings,V
Boston Celtics,Milwaukee Bucks,H
Charlotte Hornets,Brooklyn Nets,H
Dallas Mavericks,Memphis Grizzlies,H
Denver Nuggets,San Antonio Spurs,H
Detroit Pistons,Washington Wizards,H
New Orleans Pelicans,Los Angeles Lakers,H
Orlando Magic,Miami Heat,H
New York Knicks,Philadelphia 76ers,V
Toronto Raptors,Indiana Pacers,H
Los Angeles Clippers,Utah Jazz,V
Atlanta Hawks,Boston Celtics,H
Chicago Bulls,Cleveland Cavaliers,H
Golden State Warriors,Memphis Grizzlies,V
Phoenix Suns,New Orleans Pelicans,V
Minnesota Timberwolves,Portland Trail Blazers,V
Sacramento Kings,Oklahoma City Thunder,H
Utah Jazz,Denver Nuggets,V
Houston Rockets,Los Angeles Lakers,H
Indiana Pacers,Brooklyn Nets,H
Los Angeles Clippers,Dallas Mavericks,H
Miami Heat,Orlando Magic,H
Toronto Raptors,New York Knicks,V
Milwaukee Bucks,Philadelphia 76ers,V
Golden State Warriors,San Antonio Spurs,V
Washington Wizards,Charlotte Hornets,H
Charlotte Hornets,Boston Celtics,V
Washington Wizards,Brooklyn Nets,V
Cleveland Cavaliers,Atlanta Hawks,H
Houston Rockets,Minnesota Timberwolves,V
Chicago Bulls,New Orleans Pelicans,V
Oklahoma City Thunder,Los Angeles Lakers,H
Orlando Magic,Milwaukee Bucks,H
Sacramento Kings,Phoenix Suns,V
Dallas Mavericks,Utah Jazz,V
Miami Heat,Detroit Pistons,V
Indiana Pacers,New York Knicks,H
Los Angeles Clippers,Memphis Grizzlies,H
San Antonio Spurs,Oklahoma City Thunder,H
Toronto Raptors,Philadelphia 76ers,H
Boston Celtics,Miami Heat,H
Toronto Raptors,Brooklyn Nets,V
Chicago Bulls,Philadelphia 76ers,H
Charlotte Hornets,Orlando Magic,H
Detroit Pistons,Cleveland Cavaliers,V
San Antonio Spurs,Dallas Mavericks,V
Golden State Warriors,Memphis Grizzlies,H
Houston Rockets,Sacramento Kings,H
Los Angeles Lakers,Utah Jazz,H
Indiana Pacers,Milwaukee Bucks,V
Minnesota Timberwolves,New Orleans Pelicans,H
Phoenix Suns,Los Angeles Clippers,H
Portland Trail Blazers,Denver Nuggets,H
Washington Wizards,Atlanta Hawks,H
Atlanta Hawks,Boston Celtics,H
Golden State Warriors,Houston Rockets,H
Oklahoma City Thunder,Dallas Mavericks,H
Indiana Pacers,Toronto Raptors,V
Cleveland Cavaliers,Detroit Pistons,H
Los Angeles Clippers,Portland Trail Blazers,H
Miami Heat,Charlotte Hornets,H
San Antonio Spurs,Memphis Grizzlies,H
Golden State Warriors,Houston Rockets,H
Dallas Mavericks,Oklahoma City Thunder,V
Toronto Raptors,Indiana Pacers,H
Atlanta Hawks,Boston Celtics,H
San Antonio Spurs,Memphis Grizzlies,H
Cleveland Cavaliers,Detroit Pistons,H
Los Angeles Clippers,Portland Trail Blazers,H
Miami Heat,Charlotte Hornets,H
Oklahoma City Thunder,Dallas Mavericks,V
Houston Rockets,Golden State Warriors,H
Toronto Raptors,Indiana Pacers,V
Boston Celtics,Atlanta Hawks,H
Cleveland Cavaliers,Detroit Pistons,V
San Antonio Spurs,Memphis Grizzlies,V
Charlotte Hornets,Miami Heat,H
Oklahoma City Thunder,Dallas Mavericks,V
Indiana Pacers,Toronto Raptors,H
Portland Trail Blazers,Los Angeles Clippers,H
Boston Celtics,Atlanta Hawks,H
Cleveland Cavaliers,Detroit Pistons,V
Golden State Warriors,Houston Rockets,V
San Antonio Spurs,Memphis Grizzlies,V
Charlotte Hornets,Miami Heat,H
Oklahoma City Thunder,Dallas Mavericks,H
Portland Trail Blazers,Los Angeles Clippers,H
Atlanta Hawks,Boston Celtics,H
Toronto Raptors,Indiana Pacers,H
Golden State Warriors,Houston Rockets,H
Portland Trail Blazers,Los Angeles Clippers,V
Charlotte Hornets,Miami Heat,V
Atlanta Hawks,Boston Celtics,V
Miami Heat,Charlotte Hornets,V
Indiana Pacers,Toronto Raptors,H
Portland Trail Blazers,Los Angeles Clippers,H
San Antonio Spurs,Oklahoma City Thunder,H
Golden State Warriors,Portland Trail Blazers,H
Miami Heat,Charlotte Hornets,H
Toronto Raptors,Indiana Pacers,H
Cleveland Cavaliers,Atlanta Hawks,H
Oklahoma City Thunder,San Antonio Spurs,V
Golden State Warriors,Portland Trail Blazers,H
Miami Heat,Toronto Raptors,V
Cleveland Cavaliers,Atlanta Hawks,H
Toronto Raptors,Miami Heat,H
Cleveland Cavaliers,Atlanta Hawks,V
San Antonio Spurs,Oklahoma City Thunder,V
Toronto Raptors,Miami Heat,V
Portland Trail Blazers,Golden State Warriors,H
Cleveland Cavaliers,Atlanta Hawks,V
Oklahoma City Thunder,San Antonio Spurs,H
Miami Heat,Toronto Raptors,H
Golden State Warriors,Portland Trail Blazers,V
Oklahoma City Thunder,San Antonio Spurs,V
Golden State Warriors,Portland Trail Blazers,H
Toronto Raptors,Miami Heat,H
Oklahoma City Thunder,San Antonio Spurs,H
Miami Heat,Toronto Raptors,H
Toronto Raptors,Miami Heat,H
Oklahoma City Thunder,Golden State Warriors,V
Cleveland Cavaliers,Toronto Raptors,H
Golden State Warriors,Oklahoma City Thunder,H
Cleveland Cavaliers,Toronto Raptors,H
Toronto Raptors,Cleveland Cavaliers,H
Oklahoma City Thunder,Golden State Warriors,H
Toronto Raptors,Cleveland Cavaliers,H
Oklahoma City Thunder,Golden State Warriors,H
Cleveland Cavaliers,Toronto Raptors,H
Golden State Warriors,Oklahoma City Thunder,H
Cleveland Cavaliers,Toronto Raptors,V
Golden State Warriors,Oklahoma City Thunder,V
Golden State Warriors,Oklahoma City Thunder,H
Golden State Warriors,Cleveland Cavaliers,H
Golden State Warriors,Cleveland Cavaliers,H
Cleveland Cavaliers,Golden State Warriors,H
